,head,tail,combined
25A3P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCCNCCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
25A3P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCCNCCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
26A3P4,CCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCC
26A3P5,CCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCC
26A3P6,CCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCC
26A3P7,CCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCC
26A3P8,CCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCC
26A3P9,CCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCC
26A3P10,CCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCC
26A3P11,CCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCC
26A3P12,CCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCC
26A3P13,CCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCC
26A3P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCC
26A3P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
26A3P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CCN(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
27A3P4,CCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCC)CC[NH2+]CCOP(=O)([O-])OCCCC
27A3P5,CCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCC
27A3P6,CCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCC
27A3P7,CCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCC
27A3P8,CCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCC
27A3P9,CCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC
27A3P10,CCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC
27A3P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC
27A3P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC
27A3P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC
27A3P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC
27A3P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC
27A3P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCN(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
28A3P4,CCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC
28A3P5,CCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC
28A3P6,CCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC
28A3P7,CCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC
28A3P8,CCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC
28A3P9,CCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC
28A3P10,CCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC
28A3P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC
28A3P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC
28A3P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC
28A3P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC
28A3P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
28A3P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCNCCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
23A4P4,CCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCC)(CCOP(=O)([O-])OCCCC)CC1
23A4P5,CCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCC)(CCOP(=O)([O-])OCCCCC)CC1
23A4P6,CCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCC)(CCOP(=O)([O-])OCCCCCC)CC1
23A4P7,CCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCC)(CCOP(=O)([O-])OCCCCCCC)CC1
23A4P8,CCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCC)CC1
23A4P9,CCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCC)CC1
23A4P10,CCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCC)CC1
23A4P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCCC)CC1
23A4P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCCCC)CC1
23A4P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCCCCC)CC1
23A4P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC1
23A4P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC1
23A4P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN)CN1CCN(CCCN)CC1,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[N+]1(CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[N+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)(CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC1
24A4P4,CCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC
24A4P5,CCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC
24A4P6,CCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC
24A4P7,CCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC
24A4P8,CCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC
24A4P9,CCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC
24A4P10,CCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC
24A4P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC
24A4P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC
24A4P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC
24A4P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC
24A4P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
24A4P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
25A4P4,CCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC
25A4P5,CCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC
25A4P6,CCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC
25A4P7,CCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC
25A4P8,CCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC
25A4P9,CCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC
25A4P10,CCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC
