,head,tail,combined
25A4P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC
25A4P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC
25A4P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC
25A4P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC
25A4P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
25A4P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CCNCCCN)CNCCCN,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCC[NH+](CCCC[NH+](CCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
26A4P4,CCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCC
26A4P5,CCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCC
26A4P6,CCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCC
26A4P7,CCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCC
26A4P8,CCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCC
26A4P9,CCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCC
26A4P10,CCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCC
26A4P11,CCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCC
26A4P12,CCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCC
26A4P13,CCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCC
26A4P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCC
26A4P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
26A4P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,CNCCN(CCNC)CCNC,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH+](C)CC[N+](CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)(CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[NH+](C)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
27A4P4,CCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC
27A4P5,CCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC
27A4P6,CCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC
27A4P7,CCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC
27A4P8,CCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC
27A4P9,CCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC
27A4P10,CCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC
27A4P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC
27A4P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC
27A4P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC
27A4P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC
27A4P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
27A4P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CN(CCN)CCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[N+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)(CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
28A4P4,CCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC
28A4P5,CCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC
28A4P6,CCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC
28A4P7,CCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC
28A4P8,CCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC
28A4P9,CCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC
28A4P10,CCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC
28A4P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC
28A4P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC
28A4P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC
28A4P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC
28A4P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
28A4P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCNCC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
28A5P4,CCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCC)CC[NH+](CCOP(=O)([O-])OCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCC)CCOP(=O)([O-])OCCCC
28A5P5,CCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCC)CCOP(=O)([O-])OCCCCC
28A5P6,CCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCC)CCOP(=O)([O-])OCCCCCC
28A5P7,CCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCC)CCOP(=O)([O-])OCCCCCCC
28A5P8,CCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCC)CCOP(=O)([O-])OCCCCCCCC
28A5P9,CCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCC
28A5P10,CCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCC
28A5P11,CCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCC
28A5P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCC
28A5P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCC
28A5P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCC
28A5P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCC
28A5P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(CNCCNCCNCCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[NH+](CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CC[NH+](CC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC)CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
19A2P4,CCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCC
19A2P5,CCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCC
19A2P6,CCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCC
19A2P7,CCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCC
19A2P8,CCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCC
19A2P9,CCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCC
19A2P10,CCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCC
19A2P11,CCCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCC
19A2P12,CCCCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCC
19A2P13,CCCCCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCC
19A2P14,CCCCCCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCC
19A2P15,CCCCCCCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCC
19A2P16,CCCCCCCCCCCCCCCCOP1(=O)OCCO1,C(COCCOCCN)N,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[NH2+]CCOCCOCC[NH2+]CCOP(=O)([O-])OCCCCCCCCCCCCCCCC
